datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2012 5:00:00 AM,1/1/2012 12:00:00 AM,RTO,RTO,RTO,RTO,74833.099,True
1/1/2012 6:00:00 AM,1/1/2012 1:00:00 AM,RTO,RTO,RTO,RTO,72482.246,True
1/1/2012 7:00:00 AM,1/1/2012 2:00:00 AM,RTO,RTO,RTO,RTO,70730.564,True
1/1/2012 8:00:00 AM,1/1/2012 3:00:00 AM,RTO,RTO,RTO,RTO,69886.051,True
1/1/2012 9:00:00 AM,1/1/2012 4:00:00 AM,RTO,RTO,RTO,RTO,69931.389,True
1/1/2012 10:00:00 AM,1/1/2012 5:00:00 AM,RTO,RTO,RTO,RTO,70970.099,True
1/1/2012 11:00:00 AM,1/1/2012 6:00:00 AM,RTO,RTO,RTO,RTO,72904.398,True
1/1/2012 12:00:00 PM,1/1/2012 7:00:00 AM,RTO,RTO,RTO,RTO,74681.842,True
1/1/2012 1:00:00 PM,1/1/2012 8:00:00 AM,RTO,RTO,RTO,RTO,76168.952,True
1/1/2012 2:00:00 PM,1/1/2012 9:00:00 AM,RTO,RTO,RTO,RTO,76611.941,True
1/1/2012 3:00:00 PM,1/1/2012 10:00:00 AM,RTO,RTO,RTO,RTO,76780.609,True
1/1/2012 4:00:00 PM,1/1/2012 11:00:00 AM,RTO,RTO,RTO,RTO,76993.634,True
1/1/2012 5:00:00 PM,1/1/2012 12:00:00 PM,RTO,RTO,RTO,RTO,77425.471,True
1/1/2012 6:00:00 PM,1/1/2012 1:00:00 PM,RTO,RTO,RTO,RTO,77580.978,True
1/1/2012 7:00:00 PM,1/1/2012 2:00:00 PM,RTO,RTO,RTO,RTO,77478.618,True
1/1/2012 8:00:00 PM,1/1/2012 3:00:00 PM,RTO,RTO,RTO,RTO,78040.582,True
1/1/2012 9:00:00 PM,1/1/2012 4:00:00 PM,RTO,RTO,RTO,RTO,81363.996,True
1/1/2012 10:00:00 PM,1/1/2012 5:00:00 PM,RTO,RTO,RTO,RTO,87417.237,True
1/1/2012 11:00:00 PM,1/1/2012 6:00:00 PM,RTO,RTO,RTO,RTO,89270.724,True
1/2/2012 12:00:00 AM,1/1/2012 7:00:00 PM,RTO,RTO,RTO,RTO,88650.803,True
1/2/2012 1:00:00 AM,1/1/2012 8:00:00 PM,RTO,RTO,RTO,RTO,87739.326,True
1/2/2012 2:00:00 AM,1/1/2012 9:00:00 PM,RTO,RTO,RTO,RTO,85327.867,True
1/2/2012 3:00:00 AM,1/1/2012 10:00:00 PM,RTO,RTO,RTO,RTO,82000.061,True
1/2/2012 4:00:00 AM,1/1/2012 11:00:00 PM,RTO,RTO,RTO,RTO,77930.210,True
1/2/2012 5:00:00 AM,1/2/2012 12:00:00 AM,RTO,RTO,RTO,RTO,74321.687,True
1/2/2012 6:00:00 AM,1/2/2012 1:00:00 AM,RTO,RTO,RTO,RTO,72193.165,True
1/2/2012 7:00:00 AM,1/2/2012 2:00:00 AM,RTO,RTO,RTO,RTO,71336.487,True
1/2/2012 8:00:00 AM,1/2/2012 3:00:00 AM,RTO,RTO,RTO,RTO,71797.821,True
1/2/2012 9:00:00 AM,1/2/2012 4:00:00 AM,RTO,RTO,RTO,RTO,73608.971,True
1/2/2012 10:00:00 AM,1/2/2012 5:00:00 AM,RTO,RTO,RTO,RTO,76968.828,True
1/2/2012 11:00:00 AM,1/2/2012 6:00:00 AM,RTO,RTO,RTO,RTO,81635.113,True
1/2/2012 12:00:00 PM,1/2/2012 7:00:00 AM,RTO,RTO,RTO,RTO,85201.581,True
1/2/2012 1:00:00 PM,1/2/2012 8:00:00 AM,RTO,RTO,RTO,RTO,87498.959,True
1/2/2012 2:00:00 PM,1/2/2012 9:00:00 AM,RTO,RTO,RTO,RTO,90185.307,True
1/2/2012 3:00:00 PM,1/2/2012 10:00:00 AM,RTO,RTO,RTO,RTO,92585.968,True
1/2/2012 4:00:00 PM,1/2/2012 11:00:00 AM,RTO,RTO,RTO,RTO,93619.442,True
1/2/2012 5:00:00 PM,1/2/2012 12:00:00 PM,RTO,RTO,RTO,RTO,93808.941,True
1/2/2012 6:00:00 PM,1/2/2012 1:00:00 PM,RTO,RTO,RTO,RTO,93626.944,True
1/2/2012 7:00:00 PM,1/2/2012 2:00:00 PM,RTO,RTO,RTO,RTO,93440.338,True
1/2/2012 8:00:00 PM,1/2/2012 3:00:00 PM,RTO,RTO,RTO,RTO,94044.946,True
1/2/2012 9:00:00 PM,1/2/2012 4:00:00 PM,RTO,RTO,RTO,RTO,97716.148,True
1/2/2012 10:00:00 PM,1/2/2012 5:00:00 PM,RTO,RTO,RTO,RTO,105682.841,True
1/2/2012 11:00:00 PM,1/2/2012 6:00:00 PM,RTO,RTO,RTO,RTO,107861.182,True
1/3/2012 12:00:00 AM,1/2/2012 7:00:00 PM,RTO,RTO,RTO,RTO,107495.458,True
1/3/2012 1:00:00 AM,1/2/2012 8:00:00 PM,RTO,RTO,RTO,RTO,105775.154,True
1/3/2012 2:00:00 AM,1/2/2012 9:00:00 PM,RTO,RTO,RTO,RTO,102565.432,True
1/3/2012 3:00:00 AM,1/2/2012 10:00:00 PM,RTO,RTO,RTO,RTO,97384.972,True
1/3/2012 4:00:00 AM,1/2/2012 11:00:00 PM,RTO,RTO,RTO,RTO,91965.263,True
1/3/2012 5:00:00 AM,1/3/2012 12:00:00 AM,RTO,RTO,RTO,RTO,88271.862,True
1/3/2012 6:00:00 AM,1/3/2012 1:00:00 AM,RTO,RTO,RTO,RTO,86358.310,True
1/3/2012 7:00:00 AM,1/3/2012 2:00:00 AM,RTO,RTO,RTO,RTO,85821.288,True
1/3/2012 8:00:00 AM,1/3/2012 3:00:00 AM,RTO,RTO,RTO,RTO,86356.558,True
1/3/2012 9:00:00 AM,1/3/2012 4:00:00 AM,RTO,RTO,RTO,RTO,88632.055,True
1/3/2012 10:00:00 AM,1/3/2012 5:00:00 AM,RTO,RTO,RTO,RTO,94401.739,True
1/3/2012 11:00:00 AM,1/3/2012 6:00:00 AM,RTO,RTO,RTO,RTO,104058.336,True
1/3/2012 12:00:00 PM,1/3/2012 7:00:00 AM,RTO,RTO,RTO,RTO,109953.719,True
1/3/2012 1:00:00 PM,1/3/2012 8:00:00 AM,RTO,RTO,RTO,RTO,110138.622,True
1/3/2012 2:00:00 PM,1/3/2012 9:00:00 AM,RTO,RTO,RTO,RTO,109653.331,True
1/3/2012 3:00:00 PM,1/3/2012 10:00:00 AM,RTO,RTO,RTO,RTO,109836.446,True
1/3/2012 4:00:00 PM,1/3/2012 11:00:00 AM,RTO,RTO,RTO,RTO,109692.118,True
1/3/2012 5:00:00 PM,1/3/2012 12:00:00 PM,RTO,RTO,RTO,RTO,109232.086,True
1/3/2012 6:00:00 PM,1/3/2012 1:00:00 PM,RTO,RTO,RTO,RTO,109085.905,True
1/3/2012 7:00:00 PM,1/3/2012 2:00:00 PM,RTO,RTO,RTO,RTO,108644.773,True
