datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,dasrmcp,total_pjm_rt_load_mwh,total_pjm_cleared_dasr_mwh,total_pjm_dasr_credits,total_pjm_adj_dasr_oblig_mwh
1/1/2011 4:00:00 AM,12/31/2010 11:00:00 PM,1/1/2011 5:00:00 AM,1/1/2011 12:00:00 AM,0.00000,70146.208000,5293.000,0.00,5293.000
1/1/2011 3:00:00 AM,12/31/2010 10:00:00 PM,1/1/2011 4:00:00 AM,12/31/2010 11:00:00 PM,0.02000,72851.264000,5422.600,108.46,5422.600
1/1/2011 2:00:00 AM,12/31/2010 9:00:00 PM,1/1/2011 3:00:00 AM,12/31/2010 10:00:00 PM,0.02000,75539.065000,5468.400,109.37,5468.400
1/1/2011 1:00:00 AM,12/31/2010 8:00:00 PM,1/1/2011 2:00:00 AM,12/31/2010 9:00:00 PM,0.02000,78129.399000,5514.300,110.29,5514.300
1/1/2011 12:00:00 AM,12/31/2010 7:00:00 PM,1/1/2011 1:00:00 AM,12/31/2010 8:00:00 PM,0.03000,80505.793000,5498.200,164.97,5498.200
12/31/2010 11:00:00 PM,12/31/2010 6:00:00 PM,1/1/2011 12:00:00 AM,12/31/2010 7:00:00 PM,0.05000,82475.311000,5285.700,264.35,5285.700
12/31/2010 10:00:00 PM,12/31/2010 5:00:00 PM,12/31/2010 11:00:00 PM,12/31/2010 6:00:00 PM,0.05000,81322.850000,5285.300,264.33,5285.300
12/31/2010 9:00:00 PM,12/31/2010 4:00:00 PM,12/31/2010 10:00:00 PM,12/31/2010 5:00:00 PM,0.02000,74626.674000,5465.800,109.30,5465.800
12/31/2010 8:00:00 PM,12/31/2010 3:00:00 PM,12/31/2010 9:00:00 PM,12/31/2010 4:00:00 PM,0.01000,72434.582000,5406.800,54.09,5406.800
12/31/2010 7:00:00 PM,12/31/2010 2:00:00 PM,12/31/2010 8:00:00 PM,12/31/2010 3:00:00 PM,0.01000,72499.770000,5448.800,54.53,5448.800
12/31/2010 6:00:00 PM,12/31/2010 1:00:00 PM,12/31/2010 7:00:00 PM,12/31/2010 2:00:00 PM,0.02000,73402.446000,5435.200,108.70,5435.200
12/31/2010 5:00:00 PM,12/31/2010 12:00:00 PM,12/31/2010 6:00:00 PM,12/31/2010 1:00:00 PM,0.02000,75050.650000,5462.600,109.24,5462.600
12/31/2010 4:00:00 PM,12/31/2010 11:00:00 AM,12/31/2010 5:00:00 PM,12/31/2010 12:00:00 PM,0.02000,76831.785000,5444.300,108.89,5444.300
12/31/2010 3:00:00 PM,12/31/2010 10:00:00 AM,12/31/2010 4:00:00 PM,12/31/2010 11:00:00 AM,0.04000,78447.387000,5388.300,215.52,5388.300
12/31/2010 2:00:00 PM,12/31/2010 9:00:00 AM,12/31/2010 3:00:00 PM,12/31/2010 10:00:00 AM,0.04000,78951.347000,5331.300,213.30,5331.300
12/31/2010 1:00:00 PM,12/31/2010 8:00:00 AM,12/31/2010 2:00:00 PM,12/31/2010 9:00:00 AM,0.03000,78707.474000,5398.500,161.99,5398.500
12/31/2010 12:00:00 PM,12/31/2010 7:00:00 AM,12/31/2010 1:00:00 PM,12/31/2010 8:00:00 AM,0.02000,77079.210000,5291.300,105.83,5291.300
12/31/2010 11:00:00 AM,12/31/2010 6:00:00 AM,12/31/2010 12:00:00 PM,12/31/2010 7:00:00 AM,0.02000,74477.353000,5498.000,109.97,5498.000
12/31/2010 10:00:00 AM,12/31/2010 5:00:00 AM,12/31/2010 11:00:00 AM,12/31/2010 6:00:00 AM,0.01000,71252.821000,5206.400,52.09,5206.400
12/31/2010 9:00:00 AM,12/31/2010 4:00:00 AM,12/31/2010 10:00:00 AM,12/31/2010 5:00:00 AM,0.01000,68961.621000,5405.300,54.09,5405.300
12/31/2010 8:00:00 AM,12/31/2010 3:00:00 AM,12/31/2010 9:00:00 AM,12/31/2010 4:00:00 AM,0.01000,68143.393000,5358.900,53.62,5358.900
12/31/2010 7:00:00 AM,12/31/2010 2:00:00 AM,12/31/2010 8:00:00 AM,12/31/2010 3:00:00 AM,0.01000,68564.211000,5438.600,54.41,5438.600
12/31/2010 6:00:00 AM,12/31/2010 1:00:00 AM,12/31/2010 7:00:00 AM,12/31/2010 2:00:00 AM,0.01000,69870.030000,5469.500,54.72,5469.500
12/31/2010 5:00:00 AM,12/31/2010 12:00:00 AM,12/31/2010 6:00:00 AM,12/31/2010 1:00:00 AM,0.01000,72373.884000,5139.200,51.43,5139.200
