datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr
1/1/2020 4:00:00 AM,12/31/2019 11:00:00 PM,1/1/2020 5:00:00 AM,1/1/2020 12:00:00 AM,15.80,0.60,80078.29300,369.93823,563.31964,242.13410,392.30833,10019.59,1355.26
1/1/2020 3:00:00 AM,12/31/2019 10:00:00 PM,1/1/2020 4:00:00 AM,12/31/2019 11:00:00 PM,8.68,0.77,82936.92700,112.81298,551.95098,273.92740,355.34059,5448.62,1365.02
1/1/2020 2:00:00 AM,12/31/2019 9:00:00 PM,1/1/2020 3:00:00 AM,12/31/2019 10:00:00 PM,15.80,0.84,85802.78200,45.57798,565.30433,255.77540,357.87366,9693.28,1300.91
1/1/2020 1:00:00 AM,12/31/2019 8:00:00 PM,1/1/2020 2:00:00 AM,12/31/2019 9:00:00 PM,11.36,0.87,88384.32700,262.15181,591.02031,230.29118,411.09492,7288.45,1167.94
1/1/2020 12:00:00 AM,12/31/2019 7:00:00 PM,1/1/2020 1:00:00 AM,12/31/2019 8:00:00 PM,9.72,0.70,91082.34300,1704.91330,565.69548,291.48499,353.19216,6268.84,995.16
12/31/2019 11:00:00 PM,12/31/2019 6:00:00 PM,1/1/2020 12:00:00 AM,12/31/2019 7:00:00 PM,26.54,0.55,93729.97700,1192.87617,622.23901,230.29893,446.16186,17935.02,823.56
12/31/2019 10:00:00 PM,12/31/2019 5:00:00 PM,12/31/2019 11:00:00 PM,12/31/2019 6:00:00 PM,16.89,0.87,93857.06500,594.17196,596.02723,226.99682,417.40251,10935.26,1388.51
12/31/2019 9:00:00 PM,12/31/2019 4:00:00 PM,12/31/2019 10:00:00 PM,12/31/2019 5:00:00 PM,15.65,1.08,89257.96900,128.45211,531.93359,269.21826,332.94463,9437.82,1144.15
12/31/2019 8:00:00 PM,12/31/2019 3:00:00 PM,12/31/2019 9:00:00 PM,12/31/2019 4:00:00 PM,9.74,1.28,86726.19400,59.14676,347.97530,223.20386,168.85081,3785.47,1116.40
12/31/2019 7:00:00 PM,12/31/2019 2:00:00 PM,12/31/2019 8:00:00 PM,12/31/2019 3:00:00 PM,10.07,1.09,86555.07100,5.00109,356.33929,224.64121,176.00514,4049.24,1040.05
12/31/2019 6:00:00 PM,12/31/2019 1:00:00 PM,12/31/2019 7:00:00 PM,12/31/2019 2:00:00 PM,10.45,0.45,87627.49100,1638.36633,368.18574,227.66835,187.06075,4357.19,664.12
12/31/2019 5:00:00 PM,12/31/2019 12:00:00 PM,12/31/2019 6:00:00 PM,12/31/2019 1:00:00 PM,12.48,0.48,88615.04900,9.90273,368.96528,225.21881,190.37093,5193.14,603.90
12/31/2019 4:00:00 PM,12/31/2019 11:00:00 AM,12/31/2019 5:00:00 PM,12/31/2019 12:00:00 PM,12.68,0.76,89569.46500,11.29593,361.27038,230.97233,176.01186,5178.62,1006.42
12/31/2019 3:00:00 PM,12/31/2019 10:00:00 AM,12/31/2019 4:00:00 PM,12/31/2019 11:00:00 AM,20.24,0.79,89758.14300,315.19305,359.25680,221.49037,184.06213,7933.24,704.27
12/31/2019 2:00:00 PM,12/31/2019 9:00:00 AM,12/31/2019 3:00:00 PM,12/31/2019 10:00:00 AM,8.79,1.14,88889.43900,72.08622,355.34423,227.79293,169.50422,3497.60,1188.37
12/31/2019 1:00:00 PM,12/31/2019 8:00:00 AM,12/31/2019 2:00:00 PM,12/31/2019 9:00:00 AM,12.57,0.58,87529.63900,111.11224,588.96668,268.75451,368.44333,8010.75,1245.06
12/31/2019 12:00:00 PM,12/31/2019 7:00:00 AM,12/31/2019 1:00:00 PM,12/31/2019 8:00:00 AM,14.23,0.66,85646.97000,420.74330,592.06482,264.68116,377.12247,9154.20,1239.94
12/31/2019 11:00:00 AM,12/31/2019 6:00:00 AM,12/31/2019 12:00:00 PM,12/31/2019 7:00:00 AM,12.02,0.45,81643.77300,2095.34423,576.03672,166.21546,455.32982,7518.10,951.08
12/31/2019 10:00:00 AM,12/31/2019 5:00:00 AM,12/31/2019 11:00:00 AM,12/31/2019 6:00:00 AM,10.47,0.73,76610.52300,101.41541,570.10951,309.96163,335.93610,6766.67,1289.12
12/31/2019 9:00:00 AM,12/31/2019 4:00:00 AM,12/31/2019 10:00:00 AM,12/31/2019 5:00:00 AM,10.36,1.04,73082.24100,369.60405,576.49875,306.13790,346.08446,6762.12,1328.33
12/31/2019 8:00:00 AM,12/31/2019 3:00:00 AM,12/31/2019 9:00:00 AM,12/31/2019 4:00:00 AM,5.18,0.00,71861.23000,7.10759,351.65374,267.29380,130.46165,2058.24,0.00
